地名,センター,燃えるごみ,燃えないごみ,資源物
神尾上,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20160913 20160927 20161011 20161025 20161108 20161122 20161206 20161220 20160110 20160124 20160207 20160221 20160307 20160321
神尾下,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20160913 20160927 20161011 20161025 20161108 20161122 20161206 20161220 20160110 20160124 20160207 20160221 20160307 20160321
牛渕上,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20160913 20160927 20161011 20161025 20161108 20161122 20161206 20161220 20160110 20160124 20160207 20160221 20160307 20160321
牛渕下,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20160913 20160927 20161011 20161025 20161108 20161122 20161206 20161220 20160110 20160124 20160207 20160221 20160307 20160321
牧之原上,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20160913 20160927 20161011 20161025 20161108 20161122 20161206 20161220 20160110 20160124 20160207 20160221 20160307 20160321
牧之原下,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160412 20160426 20160510 20160524 20160607 20160621 20160705 20160719 20160802 20160816 20160830 20160913 20160927 20161011 20161025 20161108 20161122 20161206 20161220 20160110 20160124 20160207 20160221 20160307 20160321
日之出町2,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324
上本所上,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324
上本所下,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324
上本所団地,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324
宮下,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324
雇用促進第1,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324
雇用促進第2,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324
青葉台1,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324
青葉台2,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324
青葉台3,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324
仲島,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324
県営住宅,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324
虹の丘,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324
つつじヶ丘,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324
上倉沢,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160405 20160419 20160503 20160517 20160531 20160614 20160628 20160712 20160726 20160809 20160823 20160906 20160920 20161004 20161018 20161101 20161115 20161129 20161213 20161227 20160117 20160131 20160214 20160228 20160314 20160328
下倉沢,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160405 20160419 20160503 20160517 20160531 20160614 20160628 20160712 20160726 20160809 20160823 20160906 20160920 20161004 20161018 20161101 20161115 20161129 20161213 20161227 20160117 20160131 20160214 20160228 20160314 20160328
六本松,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160405 20160419 20160503 20160517 20160531 20160614 20160628 20160712 20160726 20160809 20160823 20160906 20160920 20161004 20161018 20161101 20161115 20161129 20161213 20161227 20160117 20160131 20160214 20160228 20160314 20160328
友田,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160405 20160419 20160503 20160517 20160531 20160614 20160628 20160712 20160726 20160809 20160823 20160906 20160920 20161004 20161018 20161101 20161115 20161129 20161213 20161227 20160117 20160131 20160214 20160228 20160314 20160328
東冨田,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160405 20160419 20160503 20160517 20160531 20160614 20160628 20160712 20160726 20160809 20160823 20160906 20160920 20161004 20161018 20161101 20161115 20161129 20161213 20161227 20160117 20160131 20160214 20160228 20160314 20160328
西冨田,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160405 20160419 20160503 20160517 20160531 20160614 20160628 20160712 20160726 20160809 20160823 20160906 20160920 20161004 20161018 20161101 20161115 20161129 20161213 20161227 20160117 20160131 20160214 20160228 20160314 20160328
吉沢,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160405 20160419 20160503 20160517 20160531 20160614 20160628 20160712 20160726 20160809 20160823 20160906 20160920 20161004 20161018 20161101 20161115 20161129 20161213 20161227 20160117 20160131 20160214 20160228 20160314 20160328
沢水加,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160405 20160419 20160503 20160517 20160531 20160614 20160628 20160712 20160726 20160809 20160823 20160906 20160920 20161004 20161018 20161101 20161115 20161129 20161213 20161227 20160117 20160131 20160214 20160228 20160314 20160328
和田,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160405 20160419 20160503 20160517 20160531 20160614 20160628 20160712 20160726 20160809 20160823 20160906 20160920 20161004 20161018 20161101 20161115 20161129 20161213 20161227 20160117 20160131 20160214 20160228 20160314 20160328
潮海寺上,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160405 20160419 20160503 20160517 20160531 20160614 20160628 20160712 20160726 20160809 20160823 20160906 20160920 20161004 20161018 20161101 20161115 20161129 20161213 20161227 20160117 20160131 20160214 20160228 20160314 20160328
潮海寺中,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160405 20160419 20160503 20160517 20160531 20160614 20160628 20160712 20160726 20160809 20160823 20160906 20160920 20161004 20161018 20161101 20161115 20161129 20161213 20161227 20160117 20160131 20160214 20160228 20160314 20160328
潮海寺下,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160405 20160419 20160503 20160517 20160531 20160614 20160628 20160712 20160726 20160809 20160823 20160906 20160920 20161004 20161018 20161101 20161115 20161129 20161213 20161227 20160117 20160131 20160214 20160228 20160314 20160328
富士見台,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20161230 20160120 20160203 20160217 20160303 20160317 20160331,20160405 20160419 20160503 20160517 20160531 20160614 20160628 20160712 20160726 20160809 20160823 20160906 20160920 20161004 20161018 20161101 20161115 20161129 20161213 20161227 20160117 20160131 20160214 20160228 20160314 20160328
志瑞,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160404 20160418 20160502 20160516 20160530 20160613 20160627 20160711 20160725 20160808 20160822 20160905 20160919 20161003 20161017 20161031 20161114 20161128 20161212 20161226 20160116 20160130 20160213 20160227 20160313 20160327 
石原,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160404 20160418 20160502 20160516 20160530 20160613 20160627 20160711 20160725 20160808 20160822 20160905 20160919 20161003 20161017 20161031 20161114 20161128 20161212 20161226 20160116 20160130 20160213 20160227 20160313 20160327 
八幡谷,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160404 20160418 20160502 20160516 20160530 20160613 20160627 20160711 20160725 20160808 20160822 20160905 20160919 20161003 20161017 20161031 20161114 20161128 20161212 20161226 20160116 20160130 20160213 20160227 20160313 20160327 
東組,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160404 20160418 20160502 20160516 20160530 20160613 20160627 20160711 20160725 20160808 20160822 20160905 20160919 20161003 20161017 20161031 20161114 20161128 20161212 20161226 20160116 20160130 20160213 20160227 20160313 20160327 
奥の谷,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160404 20160418 20160502 20160516 20160530 20160613 20160627 20160711 20160725 20160808 20160822 20160905 20160919 20161003 20161017 20161031 20161114 20161128 20161212 20161226 20160116 20160130 20160213 20160227 20160313 20160327 
新道,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160404 20160418 20160502 20160516 20160530 20160613 20160627 20160711 20160725 20160808 20160822 20160905 20160919 20161003 20161017 20161031 20161114 20161128 20161212 20161226 20160116 20160130 20160213 20160227 20160313 20160327 
下新道,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160404 20160418 20160502 20160516 20160530 20160613 20160627 20160711 20160725 20160808 20160822 20160905 20160919 20161003 20161017 20161031 20161114 20161128 20161212 20161226 20160116 20160130 20160213 20160227 20160313 20160327 
本町,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160404 20160418 20160502 20160516 20160530 20160613 20160627 20160711 20160725 20160808 20160822 20160905 20160919 20161003 20161017 20161031 20161114 20161128 20161212 20161226 20160116 20160130 20160213 20160227 20160313 20160327 
岳洋,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160404 20160418 20160502 20160516 20160530 20160613 20160627 20160711 20160725 20160808 20160822 20160905 20160919 20161003 20161017 20161031 20161114 20161128 20161212 20161226 20160116 20160130 20160213 20160227 20160313 20160327 
五反通,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160404 20160418 20160502 20160516 20160530 20160613 20160627 20160711 20160725 20160808 20160822 20160905 20160919 20161003 20161017 20161031 20161114 20161128 20161212 20161226 20160116 20160130 20160213 20160227 20160313 20160327 
志茂組,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160404 20160418 20160502 20160516 20160530 20160613 20160627 20160711 20160725 20160808 20160822 20160905 20160919 20161003 20161017 20161031 20161114 20161128 20161212 20161226 20160116 20160130 20160213 20160227 20160313 20160327 
河東西,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20160105 20160119 20160202 20160216 20160302 20160316 20160330
河東中,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20160105 20160119 20160202 20160216 20160302 20160316 20160330
東河東,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20160105 20160119 20160202 20160216 20160302 20160316 20160330
南町,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20160105 20160119 20160202 20160216 20160302 20160316 20160330
山西,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20160105 20160119 20160202 20160216 20160302 20160316 20160330
高橋口,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20160105 20160119 20160202 20160216 20160302 20160316 20160330
高橋中,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20160105 20160119 20160202 20160216 20160302 20160316 20160330
原磯部,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20160105 20160119 20160202 20160216 20160302 20160316 20160330
南ニュータウン,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20160105 20160119 20160202 20160216 20160302 20160316 20160330
大門,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20160105 20160119 20160202 20160216 20160302 20160316 20160330
サンライズ,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20160105 20160119 20160202 20160216 20160302 20160316 20160330
上平川,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20160106 20160120 20160203 20160217 20160303 20160317 20160331
池村,掛川市・菊川市衛生施設組合環境資源ギャラリー ,月 木,20160401 20160415 20160429 20160513 20160527 20160610 20160624 20160708 20160722 20160805 20160819 20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20160113 20160127 20160210 20160224 20160310 20160324,20160408 20160422 20160506 20160520 20160603 20160617 20160701 20160715 20160729 20160812 20160826 20160909 20160923 20161007 20161021 20161104 20161118 20161202 20161216 20160106 20160120 20160203 20160217 20160303 20160317 20160331
